"Gene","Cluster","logFC","pValue","padj"
"V40797",1,0.952367967188711,0.00344914549845076,0.050108885414346
"V29100",1,0.976832134242847,0.00344920121578473,0.050108885414346
"V42800",1,0.984266787497483,0.00345896359319548,0.050108885414346
"V43786",2,0.973850325473063,0.00347412619269891,0.050108885414346
"V8367",1,0.961770520096074,0.00348045848209407,0.050108885414346
"V19315",2,0.976482911642565,0.00348257072880504,0.050108885414346
"V35373",1,0.981344084026869,0.00348280174689405,0.050108885414346
"V44404",1,0.969466477079354,0.00350282441716946,0.050108885414346
"V24380",3,0.982918507263605,0.00351545504377169,0.050108885414346
"V30864",2,0.959401096226869,0.00351840722246696,0.050108885414346
"V1161",2,0.957676166407584,0.0035193800133462,0.050108885414346
"V20338",1,0.981504620653115,0.00352799075917708,0.050108885414346
"V37187",1,0.971624155871049,0.00352886525134857,0.050108885414346
"V10968",2,0.957091762411538,0.00354497176168444,0.050108885414346
"V42595",2,0.942017443727858,0.00354633597726214,0.050108885414346
"V22322",1,0.978755639592317,0.00354851341586512,0.050108885414346
"V35213",2,0.969289282487223,0.00355253981212345,0.050108885414346
"V42104",3,0.982599900532124,0.00355811687073073,0.050108885414346
"V37566",2,0.96822170681517,0.00356883947302379,0.050108885414346
"V1002",2,0.957019343518102,0.00356921162274416,0.050108885414346
"V5253",1,0.97669062950404,0.00357402423542583,0.050108885414346
"V9349",2,0.962901978011268,0.00358171338482146,0.050108885414346
"V24224",1,0.970641933000583,0.00358914536114802,0.050108885414346
"V40306",1,0.977464199951781,0.00359643476481854,0.050108885414346
"V21640",1,0.973074462431337,0.00359736476987293,0.050108885414346
"V12696",2,0.972711357377852,0.00360162034410335,0.050108885414346
"V33300",2,0.951733845766324,0.00360948164726301,0.050108885414346
"V22960",3,0.983263826253969,0.00362075195946402,0.050108885414346
"V21082",3,0.96662097925917,0.00362162607770825,0.050108885414346
"V21523",1,0.964772143170774,0.00363805181862128,0.050108885414346
"V16444",1,0.967206740223034,0.00364151297172478,0.050108885414346
"V23991",2,0.972982950457976,0.00364253258318036,0.050108885414346
"V27881",1,0.968722908274914,0.00364298277603199,0.050108885414346
"V24512",1,0.978710817176067,0.00364927882848234,0.050108885414346
"V22881",1,0.958762468674997,0.00365856458797949,0.050108885414346
"V34274",1,0.962553656236718,0.00366280310726086,0.050108885414346
"V39590",1,0.975201371246993,0.00366933832721313,0.050108885414346
"V37072",2,0.95807928444285,0.00367235675153974,0.050108885414346
"V8566",1,0.961868791762358,0.00367279206774245,0.050108885414346
"V33954",1,0.962488498078527,0.00369070919539395,0.050108885414346
"V31480",3,0.96053303688941,0.0036968909716245,0.050108885414346
"V30604",2,0.96554596818598,0.00369980103131464,0.050108885414346
